"","GEO.NAME","ALT.GEO.CODE","VIS.MIN15","VIS.MIN15.ID","AGE4D","AGE4D.ID","SEX3","SEX3.ID","tech","V1","V2"
"56","Canada","01","South Asian",3,"15 to 24 years",2,"Total - Sex",1,1,5500,25274.73
"57","Canada","01","South Asian",3,"15 to 24 years",2,"Male",2,0,69200,13026.3066473988
"58","Canada","01","South Asian",3,"15 to 24 years",2,"Male",2,1,4355,25435.9437428243
"59","Canada","01","South Asian",3,"15 to 24 years",2,"Female",3,0,60575,10998.3309946348
"60","Canada","01","South Asian",3,"15 to 24 years",2,"Female",3,1,1160,19661.4224137931
"61","Canada","01","South Asian",3,"25 to 64 years",3,"Total - Sex",1,0,714135,45089.2252305236
"62","Canada","01","South Asian",3,"25 to 64 years",3,"Total - Sex",1,1,78600,77255.7772264631
"63","Canada","01","South Asian",3,"25 to 64 years",3,"Male",2,0,378180,51444.2581178275
"64","Canada","01","South Asian",3,"25 to 64 years",3,"Male",2,1,63700,80402.3322605966
"65","Canada","01","South Asian",3,"25 to 64 years",3,"Female",3,0,335885,37747.6997781979
"66","Canada","01","South Asian",3,"25 to 64 years",3,"Female",3,1,14880,63459.938844086
"67","Canada","01","South Asian",3,"65 years and over",4,"Total - Sex",1,0,29470,33463.3260943332
"68","Canada","01","South Asian",3,"65 years and over",4,"Total - Sex",1,1,1505,67037.3289036545
"69","Canada","01","South Asian",3,"65 years and over",4,"Male",2,0,20065,34547.3456267132
"70","Canada","01","South Asian",3,"65 years and over",4,"Male",2,1,1435,67806.5818815331
"71","Canada","01","South Asian",3,"65 years and over",4,"Female",3,0,9430,23719.3223753977
"72","Canada","01","South Asian",3,"65 years and over",4,"Female",3,1,65,0
"73","Canada","01","Chinese",4,"Total - Age",1,"Total - Sex",1,0,673550,42737.3236804988
"74","Canada","01","Chinese",4,"Total - Age",1,"Total - Sex",1,1,91365,79643.4500629344
"75","Canada","01","Chinese",4,"Total - Age",1,"Male",2,0,309700,46990.1045689377
"76","Canada","01","Chinese",4,"Total - Age",1,"Male",2,1,67760,81767.1479486423
"77","Canada","01","Chinese",4,"Total - Age",1,"Female",3,0,363765,38932.1289706266
"78","Canada","01","Chinese",4,"Total - Age",1,"Female",3,1,23620,73429.3304403048
"79","Canada","01","Chinese",4,"15 to 24 years",2,"Total - Sex",1,0,88665,11798.3385777928
"80","Canada","01","Chinese",4,"15 to 24 years",2,"Total - Sex",1,1,6050,26151.3727272727
"81","Canada","01","Chinese",4,"15 to 24 years",2,"Male",2,0,39865,11559.898407124
"82","Canada","01","Chinese",4,"15 to 24 years",2,"Male",2,1,4365,25846.7857961054
"83","Canada","01","Chinese",4,"15 to 24 years",2,"Female",3,0,48755,11247.1096297816
"84","Canada","01","Chinese",4,"15 to 24 years",2,"Female",3,1,1675,22676.3701492537
"85","Canada","01","Chinese",4,"25 to 64 years",3,"Total - Sex",1,0,563050,47690.409182133
"86","Canada","01","Chinese",4,"25 to 64 years",3,"Total - Sex",1,1,83980,83465.7906644439
"87","Canada","01","Chinese",4,"25 to 64 years",3,"Male",2,0,257100,52505.2720731233
"88","Canada","01","Chinese",4,"25 to 64 years",3,"Male",2,1,62235,85605.0321362577
"89","Canada","01","Chinese",4,"25 to 64 years",3,"Female",3,0,306005,43427.8700838222
"90","Canada","01","Chinese",4,"25 to 64 years",3,"Female",3,1,21775,77223.359586682
"91","Canada","01","Chinese",4,"65 years and over",4,"Total - Sex",1,0,21710,30121.1798710272
"92","Canada","01","Chinese",4,"65 years and over",4,"Total - Sex",1,1,1350,59586.1185185185
"93","Canada","01","Chinese",4,"65 years and over",4,"Male",2,0,12605,30097.321697739
"94","Canada","01","Chinese",4,"65 years and over",4,"Male",2,1,1175,61057.0765957447
"95","Canada","01","Chinese",4,"65 years and over",4,"Female",3,0,9040,21763.001659292
"96","Canada","01","Chinese",4,"65 years and over",4,"Female",3,1,160,19755.3125
"97","Canada","01","Black",5,"Total - Age",1,"Total - Sex",1,0,547050,35928.9158760625
"98","Canada","01","Black",5,"Total - Age",1,"Total - Sex",1,1,24430,63047.7527629963
"99","Canada","01","Black",5,"Total - Age",1,"Male",2,0,262215,38283.9463798791
"100","Canada","01","Black",5,"Total - Age",1,"Male",2,1,19650,63890.2717557252
"101","Canada","01","Black",5,"Total - Age",1,"Female",3,0,284690,33433.804190523
"102","Canada","01","Black",5,"Total - Age",1,"Female",3,1,4810,58476.0301455301
"103","Canada","01","Black",5,"15 to 24 years",2,"Total - Sex",1,0,96680,10991.0265825403
"104","Canada","01","Black",5,"15 to 24 years",2,"Total - Sex",1,1,1235,17320.1902834008
"105","Canada","01","Black",5,"15 to 24 years",2,"Male",2,0,46525,11006.3325094035
"106","Canada","01","Black",5,"15 to 24 years",2,"Male",2,1,960,17692.8177083333
"107","Canada","01","Black",5,"15 to 24 years",2,"Female",3,0,50055,10416.9407651583
"108","Canada","01","Black",5,"15 to 24 years",2,"Female",3,1,310,5542.70967741936
"109","Canada","01","Black",5,"25 to 64 years",3,"Total - Sex",1,0,431780,41481.6313747742
"110","Canada","01","Black",5,"25 to 64 years",3,"Total - Sex",1,1,22730,65324.3889133304
"111","Canada","01","Black",5,"25 to 64 years",3,"Male",2,0,206165,44249.2706084932
"112","Canada","01","Black",5,"25 to 64 years",3,"Male",2,1,18290,66031.8477310005
"113","Canada","01","Black",5,"25 to 64 years",3,"Female",3,0,225600,38517.5814494681
"114","Canada","01","Black",5,"25 to 64 years",3,"Female",3,1,4460,61484.634529148
"115","Canada","01","Black",5,"65 years and over",4,"Total - Sex",1,0,18575,26069.9566621803
"116","Canada","01","Black",5,"65 years and over",4,"Total - Sex",1,1,455,29504.1978021978
"117","Canada","01","Black",5,"65 years and over",4,"Male",2,0,9450,22971.0714285714
"118","Canada","01","Black",5,"65 years and over",4,"Male",2,1,390,32572.4230769231
"119","Canada","01","Black",5,"65 years and over",4,"Female",3,0,9090,23523.4785478548
"120","Canada","01","Black",5,"65 years and over",4,"Female",3,1,65,0
"121","Canada","01","Filipino",6,"Total - Age",1,"Total - Sex",1,0,464050,37433.6002801422
"122","Canada","01","Filipino",6,"Total - Age",1,"Total - Sex",1,1,16355,69045.7963925405
"123","Canada","01","Filipino",6,"Total - Age",1,"Male",2,0,191265,40841.2331320419
"124","Canada","01","Filipino",6,"Total - Age",1,"Male",2,1,12500,71040.6208
"125","Canada","01","Filipino",6,"Total - Age",1,"Female",3,0,272695,34685.9357890684
"126","Canada","01","Filipino",6,"Total - Age",1,"Female",3,1,3880,59617.4097938144
"127","Canada","01","Filipino",6,"15 to 24 years",2,"Total - Sex",1,0,63510,12638.169815777
"128","Canada","01","Filipino",6,"15 to 24 years",2,"Total - Sex",1,1,890,21464.1685393258
"129","Canada","01","Filipino",6,"15 to 24 years",2,"Male",2,0,31815,12834.8646864686
"130","Canada","01","Filipino",6,"15 to 24 years",2,"Male",2,1,655,21624.8473282443
"131","Canada","01","Filipino",6,"15 to 24 years",2,"Female",3,0,31575,11616.9828978622
"132","Canada","01","Filipino",6,"15 to 24 years",2,"Female",3,1,230,3000.52173913043
"133","Canada","01","Filipino",6,"25 to 64 years",3,"Total - Sex",1,0,388515,41425.9827419791
"134","Canada","01","Filipino",6,"25 to 64 years",3,"Total - Sex",1,1,15260,71576.2087155963
"135","Canada","01","Filipino",6,"25 to 64 years",3,"Male",2,0,154555,46394.2995050306
"136","Canada","01","Filipino",6,"25 to 64 years",3,"Male",2,1,11650,73668.591416309
"137","Canada","01","Filipino",6,"25 to 64 years",3,"Female",3,0,233755,37729.2712455349
"138","Canada","01","Filipino",6,"25 to 64 years",3,"Female",3,1,3620,61638.8839779006
"139","Canada","01","Filipino",6,"65 years and over",4,"Total - Sex",1,0,12205,26651.2224498157
"140","Canada","01","Filipino",6,"65 years and over",4,"Total - Sex",1,1,235,26692.3617021277
"141","Canada","01","Filipino",6,"65 years and over",4,"Male",2,0,4915,19179.4587995931
"142","Canada","01","Filipino",6,"65 years and over",4,"Male",2,1,215,19606.8372093023
"143","Canada","01","Filipino",6,"65 years and over",4,"Female",3,0,7295,26290.2563399589
"144","Canada","01","Filipino",6,"65 years and over",4,"Female",3,1,40,0
"145","Canada","01","Latin American",7,"Total - Age",1,"Total - Sex",1,0,243030,35686.9563428383
"146","Canada","01","Latin American",7,"Total - Age",1,"Total - Sex",1,1,15720,72857.780216285
"147","Canada","01","Latin American",7,"Total - Age",1,"Male",2,0,120625,40576.4313367876
"148","Canada","01","Latin American",7,"Total - Age",1,"Male",2,1,12035,75997.8234316577
"149","Canada","01","Latin American",7,"Total - Age",1,"Female",3,0,122430,30085.2264967737
"150","Canada","01","Latin American",7,"Total - Age",1,"Female",3,1,3685,60821.7639077341
"151","Canada","01","Latin American",7,"15 to 24 years",2,"Total - Sex",1,0,34195,12114.1811668373
"152","Canada","01","Latin American",7,"15 to 24 years",2,"Total - Sex",1,1,535,11587.9813084112
"153","Canada","01","Latin American",7,"15 to 24 years",2,"Male",2,0,17140,12260.8089264877
"154","Canada","01","Latin American",7,"15 to 24 years",2,"Male",2,1,355,13513.1408450704
"155","Canada","01","Latin American",7,"15 to 24 years",2,"Female",3,0,16915,10552.9210759681
"156","Canada","01","Latin American",7,"15 to 24 years",2,"Female",3,1,165,2921.93939393939
"157","Canada","01","Latin American",7,"25 to 64 years",3,"Total - Sex",1,0,202965,39465.0299805385
"158","Canada","01","Latin American",7,"25 to 64 years",3,"Total - Sex",1,1,15035,74805.243431992
"159","Canada","01","Latin American",7,"25 to 64 years",3,"Male",2,0,99920,45067.751601281
"160","Canada","01","Latin American",7,"25 to 64 years",3,"Male",2,1,11535,77831.2999566537
"161","Canada","01","Latin American",7,"25 to 64 years",3,"Female",3,0,102970,33092.601680101
"162","Canada","01","Latin American",7,"25 to 64 years",3,"Female",3,1,3525,62886.190070922
"163","Canada","01","Latin American",7,"65 years and over",4,"Total - Sex",1,0,5995,18113.1301084237
"164","Canada","01","Latin American",7,"65 years and over",4,"Total - Sex",1,1,155,0
"165","Canada","01","Latin American",7,"65 years and over",4,"Male",2,0,3575,16073.6405594406
"166","Canada","01","Latin American",7,"65 years and over",4,"Male",2,1,135,0
"167","Canada","01","Latin American",7,"65 years and over",4,"Female",3,0,2300,11599.9456521739
"168","Canada","01","Latin American",7,"65 years and over",4,"Female",3,1,20,0
"169","Canada","01","Arab",8,"Total - Age",1,"Total - Sex",1,0,188935,36036.2238600577
"170","Canada","01","Arab",8,"Total - Age",1,"Total - Sex",1,1,19010,69967.2974750132
"171","Canada","01","Arab",8,"Total - Age",1,"Male",2,0,110660,40186.2826224471
"172","Canada","01","Arab",8,"Total - Age",1,"Male",2,1,16300,71672.2039877301
"173","Canada","01","Arab",8,"Total - Age",1,"Female",3,0,78305,28999.3711129557
"174","Canada","01","Arab",8,"Total - Age",1,"Female",3,1,2695,58553.5528756957
"175","Canada","01","Arab",8,"15 to 24 years",2,"Total - Sex",1,0,29585,10412.8451918202
"176","Canada","01","Arab",8,"15 to 24 years",2,"Total - Sex",1,1,885,20068.3163841808
"177","Canada","01","Arab",8,"15 to 24 years",2,"Male",2,0,15485,9797.52114949952
"178","Canada","01","Arab",8,"15 to 24 years",2,"Male",2,1,690,20565.9202898551
"179","Canada","01","Arab",8,"15 to 24 years",2,"Female",3,0,13970,9626.14566929134
"180","Canada","01","Arab",8,"15 to 24 years",2,"Female",3,1,180,11703.7222222222
"181","Canada","01","Arab",8,"25 to 64 years",3,"Total - Sex",1,0,155305,40578.6352338946
"182","Canada","01","Arab",8,"25 to 64 years",3,"Total - Sex",1,1,17835,71852.7387160079
"183","Canada","01","Arab",8,"25 to 64 years",3,"Male",2,0,92025,44729.1155664222
"184","Canada","01","Arab",8,"25 to 64 years",3,"Male",2,1,15350,73468.7478827362
"185","Canada","01","Arab",8,"25 to 64 years",3,"Female",3,0,63315,32914.4528942589
"186","Canada","01","Arab",8,"25 to 64 years",3,"Female",3,1,2490,59250.4779116466
"187","Canada","01","Arab",8,"65 years and over",4,"Total - Sex",1,0,3925,20903.7859872611
"188","Canada","01","Arab",8,"65 years and over",4,"Total - Sex",1,1,295,47872.6610169492
"189","Canada","01","Arab",8,"65 years and over",4,"Male",2,0,3055,18731.495908347
"190","Canada","01","Arab",8,"65 years and over",4,"Male",2,1,295,45695.7966101695
"191","Canada","01","Arab",8,"65 years and over",4,"Female",3,0,955,2475.62827225131
"192","Canada","01","Arab",8,"65 years and over",4,"Female",3,1,0,NA
"193","Canada","01","Southeast Asian",9,"Total - Age",1,"Total - Sex",1,0,154890,35889.2008522177
"194","Canada","01","Southeast Asian",9,"Total - Age",1,"Total - Sex",1,1,9985,72317.7441161743
"195","Canada","01","Southeast Asian",9,"Total - Age",1,"Male",2,0,72870,39385.8950185261
"196","Canada","01","Southeast Asian",9,"Total - Age",1,"Male",2,1,7660,72619.9288511749
"197","Canada","01","Southeast Asian",9,"Total - Age",1,"Female",3,0,82005,31257.5903908298
"198","Canada","01","Southeast Asian",9,"Total - Age",1,"Female",3,1,2300,67428.7260869565
"199","Canada","01","Southeast Asian",9,"15 to 24 years",2,"Total - Sex",1,0,24270,11026.9940255459
"200","Canada","01","Southeast Asian",9,"15 to 24 years",2,"Total - Sex",1,1,690,15532.152173913
"201","Canada","01","Southeast Asian",9,"15 to 24 years",2,"Male",2,0,11715,10170.3836961161
"202","Canada","01","Southeast Asian",9,"15 to 24 years",2,"Male",2,1,520,16958.9519230769
"203","Canada","01","Southeast Asian",9,"15 to 24 years",2,"Female",3,0,12540,10610.9465709729
"204","Canada","01","Southeast Asian",9,"15 to 24 years",2,"Female",3,1,160,0
"205","Canada","01","Southeast Asian",9,"25 to 64 years",3,"Total - Sex",1,0,127895,40145.6036983463
"206","Canada","01","Southeast Asian",9,"25 to 64 years",3,"Total - Sex",1,1,9185,75856.1622210125
"207","Canada","01","Southeast Asian",9,"25 to 64 years",3,"Male",2,0,59525,44437.2092398152
"208","Canada","01","Southeast Asian",9,"25 to 64 years",3,"Male",2,1,7035,75984.0931058991
"209","Canada","01","Southeast Asian",9,"25 to 64 years",3,"Female",3,0,68390,34590.8491738558
"210","Canada","01","Southeast Asian",9,"25 to 64 years",3,"Female",3,1,2135,71145.0655737705
"211","Canada","01","Southeast Asian",9,"65 years and over",4,"Total - Sex",1,0,2680,17454.7537313433
"212","Canada","01","Southeast Asian",9,"65 years and over",4,"Total - Sex",1,1,125,0
"213","Canada","01","Southeast Asian",9,"65 years and over",4,"Male",2,0,1585,13879.403785489
"214","Canada","01","Southeast Asian",9,"65 years and over",4,"Male",2,1,95,0
"215","Canada","01","Southeast Asian",9,"65 years and over",4,"Female",3,0,1000,10058.77
"216","Canada","01","Southeast Asian",9,"65 years and over",4,"Female",3,1,10,0
"217","Canada","01","West Asian",10,"Total - Age",1,"Total - Sex",1,0,112240,33293.0990288667
"218","Canada","01","West Asian",10,"Total - Age",1,"Total - Sex",1,1,12665,68992.5984998026
"219","Canada","01","West Asian",10,"Total - Age",1,"Male",2,0,60200,36211.2553986711
