"","GEO.NAME","ALT.GEO.CODE","EDUC15","EDUC15.ID","tech","V1","V2","pct","dum"
"66","New Glasgow","12220","University certificate,
diploma or degree at bachelor
level or above",10,1,165,165,43.4210526315789,0
"67","Cape Breton","12225","No certificate, diploma or
degree",2,1,40,30,3.87096774193548,0
"68","Cape Breton","12225","Secondary (high) school
diploma or equivalency
certificate",3,1,120,105,13.5483870967742,0
"69","Cape Breton","12225","Apprenticeship or trades
certificate or diploma",5,1,65,65,8.38709677419355,0
"70","Cape Breton","12225","College, CEGEP or other non-
university certificate or
diploma",8,1,285,265,34.1935483870968,0
"71","Cape Breton","12225","University certificate or
diploma below bachelor level",9,1,95,70,9.03225806451613,0
"72","Cape Breton","12225","University certificate,
diploma or degree at bachelor
level or above",10,1,310,240,30.9677419354839,0
"73","Moncton","13305","No certificate, diploma or
degree",2,1,0,0,0,0
"74","Moncton","13305","Secondary (high) school
diploma or equivalency
certificate",3,1,395,340,10.2719033232628,0
"75","Moncton","13305","Apprenticeship or trades
certificate or diploma",5,1,20,25,0.755287009063444,0
"76","Moncton","13305","College, CEGEP or other non-
university certificate or
diploma",8,1,1545,1455,43.9577039274924,0
"77","Moncton","13305","University certificate or
diploma below bachelor level",9,1,70,60,1.81268882175227,0
"78","Moncton","13305","University certificate,
diploma or degree at bachelor
level or above",10,1,1430,1430,43.202416918429,0
"79","Saint John","13310","No certificate, diploma or
degree",2,1,30,20,0.610687022900763,0
"80","Saint John","13310","Secondary (high) school
diploma or equivalency
certificate",3,1,440,440,13.4351145038168,0
"81","Saint John","13310","Apprenticeship or trades
certificate or diploma",5,1,100,75,2.29007633587786,0
"82","Saint John","13310","College, CEGEP or other non-
university certificate or
diploma",8,1,1140,1100,33.587786259542,0
"83","Saint John","13310","University certificate or
diploma below bachelor level",9,1,90,65,1.98473282442748,0
"84","Saint John","13310","University certificate,
diploma or degree at bachelor
level or above",10,1,1605,1575,48.0916030534351,0
"85","Fredericton","13320","No certificate, diploma or
degree",2,1,0,0,0,0
"86","Fredericton","13320","Secondary (high) school
diploma or equivalency
certificate",3,1,395,360,9.66442953020134,0
"87","Fredericton","13320","Apprenticeship or trades
certificate or diploma",5,1,65,75,2.01342281879195,0
"88","Fredericton","13320","College, CEGEP or other non-
university certificate or
diploma",8,1,940,925,24.8322147651007,0
"89","Fredericton","13320","University certificate or
diploma below bachelor level",9,1,50,30,0.805369127516778,0
"90","Fredericton","13320","University certificate,
diploma or degree at bachelor
level or above",10,1,2440,2335,62.6845637583893,0
"91","Bathurst","13328","No certificate, diploma or
degree",2,1,0,0,0,0
"92","Bathurst","13328","Secondary (high) school
diploma or equivalency
certificate",3,1,20,10,2.98507462686567,0
"93","Bathurst","13328","Apprenticeship or trades
certificate or diploma",5,1,0,20,5.97014925373134,0
"94","Bathurst","13328","College, CEGEP or other non-
university certificate or
diploma",8,1,200,195,58.2089552238806,0
"95","Bathurst","13328","University certificate or
diploma below bachelor level",9,1,0,0,0,0
"96","Bathurst","13328","University certificate,
diploma or degree at bachelor
level or above",10,1,110,110,32.8358208955224,0
"97","Miramichi","13329","No certificate, diploma or
degree",2,1,0,0,0,0
"98","Miramichi","13329","Secondary (high) school
diploma or equivalency
certificate",3,1,30,35,14.2857142857143,0
"99","Miramichi","13329","Apprenticeship or trades
certificate or diploma",5,1,20,10,4.08163265306122,0
"100","Miramichi","13329","College, CEGEP or other non-
university certificate or
diploma",8,1,105,120,48.9795918367347,0
"101","Miramichi","13329","University certificate or
diploma below bachelor level",9,1,0,0,0,0
"102","Miramichi","13329","University certificate,
diploma or degree at bachelor
level or above",10,1,35,80,32.6530612244898,0
"103","Campbellton","13330","No certificate, diploma or
degree",2,1,0,0,0,0
"104","Campbellton","13330","Secondary (high) school
diploma or equivalency
certificate",3,1,10,0,0,0
"105","Campbellton","13330","Apprenticeship or trades
certificate or diploma",5,1,0,0,0,0
"106","Campbellton","13330","College, CEGEP or other non-
university certificate or
diploma",8,1,50,45,81.8181818181818,0
"107","Campbellton","13330","University certificate or
diploma below bachelor level",9,1,0,0,0,0
"108","Campbellton","13330","University certificate,
diploma or degree at bachelor
level or above",10,1,30,10,18.1818181818182,0
"109","Edmundston","13335","No certificate, diploma or
degree",2,1,0,0,0,0
"110","Edmundston","13335","Secondary (high) school
diploma or equivalency
certificate",3,1,10,20,9.52380952380952,0
"111","Edmundston","13335","Apprenticeship or trades
certificate or diploma",5,1,40,10,4.76190476190476,0
