"","GEO.NAME","ALT.GEO.CODE","VIS.MIN15","VIS.MIN15.ID","V1","V2","share.tech","prop.tech","non.tech.pay","non.vismin.tech.pay","pay.gap","color"
"28","St. John's","10001","Visible minority, n.i.e.",13,10,0,0.147710487444609,16.6666666666667,0,93447.4634340222,93447.4634340222,"1"
"29","St. John's","10001","Multiple visible minorities",14,0,NA,0,0,NA,93447.4634340222,NA,"1"
"30","St. John's","10001","Not a visible minority",15,6290,93447.4634340222,92.9098966026588,5.6198347107438,54090.8488190467,93447.4634340222,0,"1"
"31","Halifax","12205","Total - Visible minority",1,13150,67778.7950570342,100,5.86033245688311,44922.3192577163,69769.8907970057,1991.09573997151,"1"
"32","Halifax","12205","Total visible minority population",2,1795,50559.5961002785,13.6501901140684,8.77107256291229,27303.5870380289,69769.8907970057,19210.2946967272,"1"
"33","Halifax","12205","South Asian",3,825,42108.503030303,6.27376425855513,22.7272727272727,15104.4135472371,69769.8907970057,27661.3877667027,"1"
"34","Halifax","12205","Chinese",4,340,34382.5882352941,2.58555133079848,11.663807890223,15799.6737864078,69769.8907970057,35387.3025617116,"1"
"35","Halifax","12205","Black",5,145,0,1.10266159695818,2.1513353115727,19791.5390447308,69769.8907970057,69769.8907970057,"1"
"36","Halifax","12205","Filipino",6,20,0,0.152091254752852,1.28205128205128,14438.5714285715,69769.8907970057,69769.8907970057,"1"
"37","Halifax","12205","Latin American",7,90,0,0.684410646387833,11.25,0,69769.8907970057,69769.8907970057,"1"
"38","Halifax","12205","Arab",8,175,8033.82857142857,1.33079847908745,7.72626931567329,13406.0119617225,69769.8907970057,61736.0622255772,"1"
"39","Halifax","12205","Southeast Asian",9,25,0,0.190114068441065,5.26315789473684,5061.72222222225,69769.8907970057,69769.8907970057,"1"
"40","Halifax","12205","West Asian",10,50,0,0.380228136882129,8.06451612903226,8307.64035087719,69769.8907970057,69769.8907970057,"1"
"41","Halifax","12205","Korean",11,30,0,0.228136882129278,5.17241379310345,8070.19999999995,69769.8907970057,69769.8907970057,"1"
"42","Halifax","12205","Japanese",12,20,0,0.152091254752852,10.5263157894737,0,69769.8907970057,69769.8907970057,"1"
"43","Halifax","12205","Visible minority, n.i.e.",13,0,NA,0,0,NA,69769.8907970057,NA,"1"
"44","Halifax","12205","Multiple visible minorities",14,20,0,0.152091254752852,4.93827160493827,0,69769.8907970057,69769.8907970057,"1"
"45","Halifax","12205","Not a visible minority",15,11355,69769.8907970057,86.3498098859316,5.56672222766938,45907.2881245944,69769.8907970057,0,"1"
"46","Moncton","13305","Total - Visible minority",1,3450,63631.6826086956,100,4.3279182086182,39777.7176293188,64668.1365030676,1036.45389437192,"1"
"47","Moncton","13305","Total visible minority population",2,180,25686.2222222222,5.21739130434783,5.63380281690141,14644.8126036484,64668.1365030676,38981.9142808453,"1"
"48","Moncton","13305","South Asian",3,60,0,1.73913043478261,25.531914893617,0,64668.1365030676,64668.1365030676,"1"
"49","Moncton","13305","Chinese",4,50,0,1.44927536231884,16.3934426229508,0,64668.1365030676,64668.1365030676,"1"
"50","Moncton","13305","Black",5,30,0,0.869565217391304,2.69058295964126,11653.1244239631,64668.1365030676,64668.1365030676,"1"
"51","Moncton","13305","Filipino",6,0,NA,0,0,NA,64668.1365030676,NA,"1"
"52","Moncton","13305","Latin American",7,10,0,0.289855072463768,6.25,0,64668.1365030676,64668.1365030676,"1"
"53","Moncton","13305","Arab",8,10,0,0.289855072463768,3.38983050847458,2981.05263157899,64668.1365030676,64668.1365030676,"1"
"54","Moncton","13305","Southeast Asian",9,0,NA,0,0,NA,64668.1365030676,NA,"1"
"55","Moncton","13305","West Asian",10,0,NA,0,0,NA,64668.1365030676,NA,"1"
"56","Moncton","13305","Korean",11,10,0,0.289855072463768,3.50877192982456,4117.78181818186,64668.1365030676,64668.1365030676,"1"
"57","Moncton","13305","Japanese",12,0,NA,0,0,NA,64668.1365030676,NA,"1"
"58","Moncton","13305","Visible minority, n.i.e.",13,0,NA,0,0,NA,64668.1365030676,NA,"1"
"59","Moncton","13305","Multiple visible minorities",14,10,0,0.289855072463768,20,0,64668.1365030676,64668.1365030676,"1"
"60","Moncton","13305","Not a visible minority",15,3260,64668.1365030676,94.4927536231884,4.26032409827496,40203.3198880699,64668.1365030676,0,"1"
"61","Saint John","13310","Total - Visible minority",1,3415,72275.925329429,100,5.22810777709737,42069.8416929166,72516.6795069338,240.754177504787,"1"
"62","Saint John","13310","Total visible minority population",2,185,22264.3783783784,5.41727672035139,8.3710407239819,12266.9604938271,72516.6795069338,50252.3011285554,"1"
"63","Saint John","13310","South Asian",3,80,12629.25,2.34260614934114,28.5714285714286,0,72516.6795069338,59887.4295069338,"1"
"64","Saint John","13310","Chinese",4,30,0,0.878477306002928,7.31707317073171,0,72516.6795069338,72516.6795069338,"1"
"65","Saint John","13310","Black",5,20,0,0.585651537335286,3.27868852459016,2920,72516.6795069338,72516.6795069338,"1"
"66","Saint John","13310","Filipino",6,0,NA,0,0,NA,72516.6795069338,NA,"1"
"67","Saint John","13310","Latin American",7,0,NA,0,0,NA,72516.6795069338,NA,"1"
"68","Saint John","13310","Arab",8,20,0,0.585651537335286,18.1818181818182,0,72516.6795069338,72516.6795069338,"1"
"69","Saint John","13310","Southeast Asian",9,10,0,0.292825768667643,8.69565217391304,0,72516.6795069338,72516.6795069338,"1"
"70","Saint John","13310","West Asian",10,0,NA,0,0,NA,72516.6795069338,NA,"1"
