"","ID","Name","long","lat","num.row"
"1","10001","St. John's",-51.8464984353819,50.8236621981064,420
"2","10005","Bay Roberts",-52.3948873990951,50.8484296522704,103
"3","10010","Grand Falls-Windsor",-55.1760887371176,51.8967697235826,32
"4","10011","Gander",-54.3391852797687,51.8025012169219,214
"5","10015","Corner Brook",-57.3044322878413,51.7096374297939,225
"6","11105","Charlottetown",-62.229046014056,48.5618213513483,277
"7","11110","Summerside",-63.0655380470972,48.6279655317686,114
"8","12205","Halifax",-62.062065028356,47.1371493479404,2830
"9","12210","Kentville",-63.4835040162308,47.2345876708088,314
"10","12215","Truro",-62.1865703044177,47.6563248386436,359
"11","12220","New Glasgow",-61.4943855045745,47.8180501877777,302
"12","12225","Cape Breton",-59.2477954807723,48.5324818588478,1170
"13","13305","Moncton",-64.0276915594114,48.135402326202,106
"14","13310","Saint John",-65.1264517169414,47.4315507986084,608
"15","13320","Fredericton",-66.0091446307174,47.9969010103536,155
"16","13328","Bathurst",-65.2833315033225,49.5771458946845,147
"17","13329","Miramichi",-65.5479148439731,49.1245302693256,133
"18","13330","Campbellton",-66.2782786439848,49.7096994057651,113
"19","13335","Edmundston",-67.7417134781403,49.3479611191513,140
"20","24330","Campbellton",-66.3150421978377,50.0708724682167,34
"21","24403","Matane",-67.1463430680693,50.667265048716,101
"22","24404","Rimouski",-68.2328827269922,50.156621206925,200
"23","24405","Riviere-du-Loup",-69.0545412030497,49.5724842662074,99
"24","24406","Baie-Comeau",-68.1473008209965,51.0146719403699,210
"25","24408","Saguenay",-70.7733093307581,50.1080684253711,115
"26","24410","Alma",-71.3944706968189,50.202923519826,28
"27","24411","Dolbeau-Mistassini",-71.9626872309313,50.4707238030351,122
"28","24412","Sept-eles",-66.0413181606451,52.2903618620167,470
"29","24421","Quebec",-70.9470126437697,48.6376296463764,461
"30","24423","Sainte-Marie",-70.4570302433209,48.1137217122548,29
"31","24428","Saint-Georges",-70.0717245462265,47.7889047225602,40
"32","24430","Thetford Mines",-70.767183818223,47.71818377796,46
"33","24433","Sherbrooke",-71.2904818176358,46.9989829094019,142
"34","24437","Cowansville",-72.1183382393091,46.7651717000348,20
"35","24440","Victoriaville",-71.3630450808706,47.6560951151833,39
"36","24442","Trois-Rivieres",-72.095563052968,47.9669343124178,268
"37","24444","Shawinigan",-72.4180780527036,48.2453741968048,118
"38","24447","Drummondville",-71.8679369206177,47.4408351015094,98
"39","24450","Granby",-72.1141275821493,46.9523710447491,79
"40","24452","Saint-Hyacinthe",-72.3074235908466,47.195127343401,57
"41","24454","Sorel-Tracy",-72.5450819510771,47.5332272146624,140
"42","24456","Joliette",-72.9028466578211,47.5251818594601,87
"43","24462","Montreal",-73.3205891142088,47.2160102428532,2138
"44","24465","Salaberry-de-Valleyfield",-73.4674524085441,46.7497481942476,154
"45","24468","Lachute",-73.758322502906,47.141299046534,57
"46","24480","Val-d'Or",-77.4644233355189,49.2854198526562,59
"47","24485","Rouyn-Noranda",-78.6989536671507,49.3872761092765,56
"48","24502","Hawkesbury",-74.0670768909927,47.0852809202761,15
"49","24505","Ottawa - Gatineau",-75.2845942623905,47.0705340995346,180
"50","35501","Cornwall",-74.3331840401774,46.5082070056324,274
"51","35502","Hawkesbury",-74.0768721218357,47.0660001290302,14
"52","35505","Ottawa - Gatineau",-75.1604387921787,46.6749600651697,146
"53","35507","Arnprior",-75.9919832757786,46.7794232940393,38
"54","35509","Carleton Place",-75.7007657398856,46.5680455454532,45
"55","35512","Brockville",-75.2005726836887,46.1031475542497,82
"56","35515","Pembroke",-76.804669879913,47.0770140703354,32
"57","35516","Petawawa",-76.8932323071398,47.2202057890831,24
"58","35521","Kingston",-75.9648585674182,45.7667524713313,734
"59","35522","Belleville",-76.8917619166206,45.5618726630517,237
"60","35527","Cobourg",-77.60833814801,45.2345435135284,22
"61","35528","Port Hope",-77.8446570340475,45.2695277223739,53
"62","35529","Peterborough",-77.744588380561,45.6091659903833,115
"63","35530","Kawartha Lakes",-78.330578160936,45.7634574582243,90
"64","35531","Centre Wellington",-79.904742953509,44.8855703828337,30
"65","35532","Oshawa",-78.2079117402547,45.2055980774572,88
"66","35533","Ingersoll",-80.3762121833994,44.1676320534998,21
"67","35535","Toronto",-79.0780792222635,45.1081170150012,851
"68","35537","Hamilton",-79.389622359428,44.4420871232214,85
"69","35539","St. Catharines - Niagara",-78.6484164560884,44.2323248507021,295
"70","35541","Kitchener - Cambridge - Waterloo",-79.9946417614226,44.6011424018153,66
"71","35543","Brantford",-79.7813464047537,44.2832597223582,71
"72","35544","Woodstock",-80.2226622537215,44.2832335995466,25
"73","35546","Tillsonburg",-80.2080949708697,43.9941333773258,21
"74","35547","Norfolk",-79.89626054209,43.9433753800955,1152
"75","35550","Guelph",-79.7184166796584,44.7155941089004,74
"76","35553","Stratford",-80.5048866573394,44.5106338658324,29
"77","35555","London",-80.8384961068063,44.0497933128694,120
"78","35556","Chatham-Kent",-81.6487614432422,43.4985598321907,464
"79","35557","Leamington",-82.1633595687214,43.1383897514927,99
"80","35559","Windsor",-82.3626794586462,43.26865763564,406
"81","35562","Sarnia",-81.8322584741733,43.955023267012,121
"82","35565","Wasaga Beach",-79.5841972961847,45.6957622989963,50
"83","35566","Owen Sound",-80.6248084885452,45.7972805182434,123
"84","35567","Collingwood",-79.8037414412434,45.6889321737036,60
"85","35568","Barrie",-79.2803980705206,45.6148413295545,57
"86","35569","Orillia",-78.9168565097954,45.7861452103726,28
"87","35571","Midland",-79.3916115486265,45.9345386802177,235
