"","tech","ALT.GEO.CODE","GEO.NAME","V1","pct","cma.focus","rownum","x","y"
"90",1,"35566","Owen Sound",310,2.01954397394137,"0",45,49,3
"91",0,"59932","Abbotsford - Mission",90585,2.03849897263978,"0",46,50,3
"92",1,"59932","Abbotsford - Mission",1885,2.03849897263978,"0",46,50,3
"93",0,"12215","Truro",22060,2.06437291897891,"0",47,51,3
"94",1,"12215","Truro",465,2.06437291897891,"0",47,51,3
"95",0,"10005","Bay Roberts",4735,2.06825232678387,"0",48,52,3
"96",1,"10005","Bay Roberts",100,2.06825232678387,"0",48,52,3
"97",0,"35598","Kenora",7805,2.0702634880803,"0",49,53,3
"98",1,"35598","Kenora",165,2.0702634880803,"0",49,53,3
"99",0,"47715","Moose Jaw",17545,2.09263392857143,"0",50,54,3
"100",1,"47715","Moose Jaw",375,2.09263392857143,"0",50,54,3
"101",0,"48850","Grande Prairie",36730,2.10554371002132,"0",51,51,7
"102",1,"48850","Grande Prairie",790,2.10554371002132,"0",51,51,7
"103",0,"59943","Courtenay",24265,2.11778943122227,"0",52,52,7
"104",1,"59943","Courtenay",525,2.11778943122227,"0",52,52,7
"105",0,"35544","Woodstock",20835,2.16013148626438,"0",53,53,7
"106",1,"35544","Woodstock",460,2.16013148626438,"0",53,53,7
"107",0,"24465","Salaberry-de-Valleyfield",18385,2.18143123171056,"0",54,54,7
"108",1,"24465","Salaberry-de-Valleyfield",410,2.18143123171056,"0",54,54,7
"109",0,"46640","Thompson",7325,2.20293724966622,"0",55,55,7
"110",1,"46640","Thompson",165,2.20293724966622,"0",55,55,7
"111",0,"59977","Fort St. John",16405,2.20566318926975,"0",56,56,7
"112",1,"59977","Fort St. John",370,2.20566318926975,"0",56,56,7
"113",0,"35501","Cornwall",25930,2.2062983217047,"0",57,57,7
"114",1,"35501","Cornwall",585,2.2062983217047,"0",57,57,7
"115",0,"35530","Kawartha Lakes",34635,2.21626199887069,"0",58,58,7
"116",1,"35530","Kawartha Lakes",785,2.21626199887069,"0",58,58,7
"117",0,"48840","Lloydminster",19355,2.22278353119475,"0",59,59,7
"118",1,"48840","Lloydminster",440,2.22278353119475,"0",59,59,7
"119",0,"35528","Port Hope",8130,2.22489476849068,"0",60,60,7
"120",1,"35528","Port Hope",185,2.22489476849068,"0",60,60,7
"121",0,"12220","New Glasgow",15725,2.23811004041032,"0",61,61,7
"122",1,"12220","New Glasgow",360,2.23811004041032,"0",61,61,7
"123",0,"35571","Midland",16080,2.24924012158055,"0",62,62,7
"124",1,"35571","Midland",370,2.24924012158055,"0",62,62,7
"125",0,"35502","Hawkesbury",4950,2.27048371174729,"0",63,63,7
"126",1,"35502","Hawkesbury",115,2.27048371174729,"0",63,63,7
"127",0,"35567","Collingwood",10290,2.27920227920228,"0",64,64,7
"128",1,"35567","Collingwood",240,2.27920227920228,"0",64,64,7
"129",0,"59939","Parksville",10240,2.29007633587786,"0",65,65,7
"130",1,"59939","Parksville",240,2.29007633587786,"0",65,65,7
"131",0,"35586","Timmins",21505,2.29441163107678,"0",66,66,7
"132",1,"35586","Timmins",505,2.29441163107678,"0",66,66,7
